"ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","PROPERTY.GROUP","SSA","LATITUDE","LONGITUDE","LOCATION"
6898440,"01/11/2023",2023-01-11,"CN132016","OPEN","","HEAT UNIT ADEQUATELY","OTHER   :    :OTHER","APARTMENT #2-ROOM TEMPERATURE-LIVING ROOM-62F., FRONT BEDROOM 61F., KITCHEN 67F., AT 9:08 AM.COMMON FORCED AIR FURNACE IS ON;HEAT IS INSUFFICENT AT TIME OF INSPECTION.","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00708",13908962,"FAILED","N","COMPLAINT","CONSERVATION","6616 W GEORGE ST",6616,"W","GEORGE","ST",124950,NA,41.932868379,-87.791307549,"(41.93286837944878, -87.79130754858107)"
6898334,"01/11/2023",2023-01-11,"EV1110","OPEN","","MAINTAIN OR REPAIR ELECT ELEVA","","AUDIT  CLOSE OPEN PERMIT #100749365","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","371001",13908871,"FAILED","N","COMPLAINT","ELEVATOR","29 E MADISON ST",29,"E","MADISON","ST",654108,1,41.88196533,-87.626793222,"(41.881965330252534, -87.62679322159418)"
6898066,"08/17/2023",2023-01-11,"CN065034","OPEN","","REPAIR WINDOW SILLS","OTHER   :    :OTHER","FRONT / WINDOW SILL - OPEN MORTAR JOINT .","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","87296",14132081,"FAILED","N","COMPLAINT","CONSERVATION","11308 S MICHIGAN AVE",11308,"S","MICHIGAN","AVE",520401,40,41.68866518,-87.621148608,"(41.68866517968443, -87.62114860809837)"
6898243,"12/22/2023",2023-01-11,"CN104015","COMPLIED","12/14/2023","REPLCE WINDOW PANES, PLEXGLAS","EXTERIOR:S   :BL00876","ALL ELEVATIONS, 1ST FLOOR AND BASEMENT  -  BROKEN WINDOWS THRU-OUT,","Replace broken, missing or defective window panes. (13-196-550 A)","BL00904",13908797,"FAILED","N","COMPLAINT","CONSERVATION","4838 W THOMAS ST",4838,"W","THOMAS","ST",54823,NA,41.900609086,-87.747561064,"(41.90060908570046, -87.74756106373523)"
6855460,"06/26/2023",2023-01-11,"EV1110","COMPLIED","06/26/2023","MAINTAIN OR REPAIR ELECT ELEVA","","INSTALL  A/C MACH.RM.","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","BL00957",13908844,"PASSED","N","PERMIT","ELEVATOR","550 W SURF ST",550,"W","SURF","ST",8123,8,41.934375934,-87.643490367,"(41.934375933787926, -87.64349036719632)"
6898400,"11/27/2023",2023-01-11,"EV1110","COMPLIED","11/27/2023","MAINTAIN OR REPAIR ELECT ELEVA","","AUDIT #1: PROVIDE COUNTERWEIGHT RUNBY SIGN WITH DATA COMPLETED","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425",14100630,"PASSED","N","COMPLAINT","ELEVATOR","225 W OHIO ST",225,"W","OHIO","ST",44838,NA,41.892264689,-87.63517797,"(41.8922646892654, -87.63517797003544)"
6898446,"01/11/2023",2023-01-11,"CN190019","OPEN","","ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","INTERIOR OF BUILDING- NO RESPONSE,UNVERIFIED DETECTORS AND CONDITIONS.","Arrange for inspection of premises. (13-12-100)","BL00708",13908964,"FAILED","N","COMPLAINT","CONSERVATION","2102 N SAWYER AVE",2102,"N","SAWYER","AVE",90172,NA,41.919350036,-87.70913459,"(41.91935003598032, -87.70913458951468)"
6898070,"08/17/2023",2023-01-11,"CN070024","OPEN","","REPAIR PORCH SYSTEM","OTHER   :    :OTHER","REAR / EXTERIOR PORCH - GRADE TO 2ND FL PORCH ROOF ROTTED. 2ND FL BEAM 6X6 ROTTED AND PULLING AWAY FROM COLUMNS .PLANS AND PERMIT REQUIRED TO REPAIR REAR PORCH","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","87296",14132081,"FAILED","N","COMPLAINT","CONSERVATION","11308 S MICHIGAN AVE",11308,"S","MICHIGAN","AVE",520401,40,41.68866518,-87.621148608,"(41.68866517968443, -87.62114860809837)"
6898352,"01/10/2023",2023-01-10,"CN107015","OPEN","","ILLUMINATE PUBLIC STAIR/HALL","OTHER   :    :OTHER","NORTH AND SOUTH STAIRWAY LIGHTS -  OUT OF SERVICE.","Failed to provide and maintain adequate illumination for public hall and stairwell.  (13-196-080, 13-196-450, 13-160-660, 13-160-670)","371335",13908898,"FAILED","N","COMPLAINT","CONSERVATION","12045 S EMERALD AVE",12045,"S","EMERALD","AVE",634714,NA,41.674690078,-87.640514842,"(41.674690077851416, -87.64051484233987)"
6898085,"01/11/2023",2023-01-11,"CN070024","OPEN","","REPAIR PORCH SYSTEM","OTHER   :    :OTHER","FRONT /EXTERIOR PORCH - GRADE TO 1ST FL .BLOCK COLUMN OPEN MORTAR JOINT .1ST FL COLUMN ROTTED . LEDGER BOARD NAILED ONLY . JOIST NAILED TO HEADERS AND PULLING AWAY .2X10 JOIST SPAN 18 FT .GUARDRAILS 20 INCH HIGH .PERMIT REQUIRED TO REPAIR FRONT PORCH","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","87296",13908699,"FAILED","N","COMPLAINT","CONSERVATION","11352 S EDBROOKE AVE",11352,"S","EDBROOKE","AVE",520199,40,41.687530542,-87.619624617,"(41.6875305420158, -87.61962461655285)"
6898325,"01/11/2023",2023-01-11,"CN079014","OPEN","","REPAIR/REBUILD GARAGE OR SHED","EXTERIOR:W   :","REAR GARAGE - BROKEN OVERHED  DOOR, ROTTED EAVES.","Failed to maintain garage in sound condition and repair.  (13-196-530, 13-196-641)","BL00904",13908864,"FAILED","N","COMPLAINT","CONSERVATION","2328 N MERRIMAC AVE",2328,"N","MERRIMAC","AVE",96184,NA,41.922591642,-87.781903434,"(41.922591642236945, -87.78190343350768)"
6855454,"06/26/2023",2023-01-11,"EV1110","COMPLIED","06/26/2023","MAINTAIN OR REPAIR ELECT ELEVA","","CITY FIRE RECALL TEST","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","BL00957",13908844,"PASSED","N","PERMIT","ELEVATOR","550 W SURF ST",550,"W","SURF","ST",8123,8,41.934375934,-87.643490367,"(41.934375933787926, -87.64349036719632)"
6898281,"06/26/2023",2023-01-11,"EV1110","COMPLIED","06/26/2023","MAINTAIN OR REPAIR ELECT ELEVA","","FRT ELEV.  FIRE 2 HR RATED WALL MACHINE AREA,DOOR CLOSER, LOCKABLE.","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","BL00957",13908844,"PASSED","N","PERMIT","ELEVATOR","550 W SURF ST",550,"W","SURF","ST",8123,8,41.934375934,-87.643490367,"(41.934375933787926, -87.64349036719632)"
6898191,"01/10/2023",2023-01-10,"CN070024","OPEN","","REPAIR PORCH SYSTEM","OTHER   :    :OTHER","REAR 2 STORY PORCH: COLUMNS ERECTED ON TOP OF CONCRETE BASES, FOOTING STATUS UNKOWN.; GUARDRAILS ONLY 34"" HIGH.; STRINGERS, RAILING POSTS, LANDING JOISTS, RAILINGS HORIZONTAL TIES ARE FASTENED WITH NAILS ONLY.; NORTH COLUMN IS LEANING AND SCABBED, CENTER COLUNM IS ROTTED, PORCH IS SETTLING DOWN IN CENTER OF PORCH.; COLUMNS ARE SEPARATING FROM BEAMS.; BEAMS ARE ONLY TOENAILED TO COLUMNS.  PORCH IS DANGEROUS AND HAZARDOUS CONDITION. PLANS  AND PERMIT ARE REQUIRED FOR NEW PORCH.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","60527",13908791,"FAILED","N","COMPLAINT","CONSERVATION","6950 S VERNON AVE",6950,"S","VERNON","AVE",393406,NA,41.767907703,-87.614255365,"(41.76790770291883, -87.61425536477357)"
6898361,"01/10/2023",2023-01-10,"CN138106","OPEN","","STOP/REMOVE NUISANCE","OTHER   :    :OTHER","REAR YARD - DISGARDED FURNATURE STORED.","Remove and stop nuisance. (7-28-060)","371335",13908901,"FAILED","N","COMPLAINT","CONSERVATION","11037 S VERNON AVE",11037,"S","VERNON","AVE",510747,NA,41.693463126,-87.612030531,"(41.69346312616011, -87.61203053133107)"
6898239,"12/22/2023",2023-01-11,"CN065014","COMPLIED","12/14/2023","REPAIR LINTELS","EXTERIOR:S   :BL00876","SOUTH ELEVATION ,1ST, 2ND 3RD FLOORS -WARPED, BOWED AND RUSTED LINTELS. PERMIT REQUIRED FOR LINTEL REPLACEMENTS.","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","BL00904",13908797,"FAILED","N","COMPLAINT","CONSERVATION","4838 W THOMAS ST",4838,"W","THOMAS","ST",54823,NA,41.900609086,-87.747561064,"(41.90060908570046, -87.74756106373523)"
6898215,"01/10/2023",2023-01-10,"CN138056","OPEN","","DEBRIS, EXCESSIVE","OTHER   :    :OTHER","NORTH GANGWAY AND WEST SERVICE AREA - REFUSE ACCUMULATION.","Remove accumulation of refuse and debris and keep premises clean. (13-196-580, 13-196-630)","BL00831",13908794,"FAILED","N","COMPLAINT","CONSERVATION","6830 S JEFFERY BLVD",6830,"S","JEFFERY","BLVD",19913,NA,41.770684318,-87.576569529,"(41.77068431773469, -87.57656952861787)"
6898387,"01/11/2023",2023-01-11,"CN076034","OPEN","","REPAIR GUTTER","OTHER   :    :OTHER","11653 / GUTTER - SAGGING DOWNWARD.","Failed to maintain roof gutters in good repair and working condition.  (13-196-590, 13-196-630(b), 13-196-641, 18-29-1101, 18-29-1105, 18-29-1106)","371335",13908909,"FAILED","N","COMPLAINT","CONSERVATION","11563 S PEORIA ST",11563,"S","PEORIA","ST",531958,NA,41.68335195,-87.645008785,"(41.68335194967208, -87.64500878527278)"
6898311,"01/11/2023",2023-01-11,"CN076024","OPEN","","REPAIR GUTTER & DOWNSPOUT","EXTERIOR:W   :","ALL ELEVATIONS  - BROKEN AND SHIFTED GUTTERS WITH MISSING DOWNSPOUTS","Failed to maintain roof gutters and downspouts in good repair and working condition.  (13-196-590, 13-196-630(b), 13-196-641, 18-29-1101, 18-29-1105, 18-29-1106)","BL00904",13908861,"FAILED","N","COMPLAINT","CONSERVATION","5555 W CONGRESS PKWY",5555,"W","CONGRESS","PKWY",252254,NA,41.87372851,-87.763731753,"(41.873728510460076, -87.76373175274865)"
6898411,"05/12/2023",2023-01-11,"CN197079","COMPLIED","04/21/2023","REPAIR/REPLACE SMOKE DETECTORS","OTHER   :    :OTHER BL00876","1ST FL / SMOKE DETECTOR - OUT OF SERVICE","Repair or replace defective or out of service smoke detectors and operate continuously. (13-196-130, 13-196-140)","87296",13908948,"FAILED","N","COMPLAINT","CONSERVATION","6144 W 64TH ST",6144,"W","64TH","ST",391208,NA,41.776076417,-87.775658224,"(41.77607641716786, -87.77565822394548)"
6898055,"08/09/2023",2023-01-10,"EV1111","COMPLIED","08/07/2023","MAINTAIN OR REPAIR HYDRO ELEVA","","FINALIZE OPEN INSTALLATION PERMIT #100791726.","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","312525",13908692,"FAILED","N","COMPLAINT","ELEVATOR","2206 S INDIANA AVE",2206,"S","INDIANA","AVE",601939,NA,41.852637001,-87.622408701,"(41.85263700127411, -87.62240870131416)"
6898349,"01/10/2023",2023-01-10,"CN073044","OPEN","","REPAIR EXTERIOR DOOR HARDWARE","OTHER   :    :OTHER","BUILDING / FRONT HANDICAP ACCESSIBLE DOOR - OUT OF SERVICE AT TIME OF INSPECTION.","Failed to maintain exterior door hardware in good condition and repair.  (13-196-550(d), 13-196-641)","371335",13908898,"FAILED","N","COMPLAINT","CONSERVATION","12045 S EMERALD AVE",12045,"S","EMERALD","AVE",634714,NA,41.674690078,-87.640514842,"(41.674690077851416, -87.64051484233987)"
6898194,"01/10/2023",2023-01-10,"NC8012","OPEN","","1HR SEP-D.U.  AND REST OF BLDG","OTHER   :    :OTHER","NORTH BASEMENT ENCLOSED PASSAGEWAY CEILING - PLASTER HAS HOLES.","Failed to provide partitions and walls of at least one hour fire resistance in multiple dwelling buildings to separate every dwelling from all other parts of the building.  (13-64-020(a))","60527",13908791,"FAILED","N","COMPLAINT","CONSERVATION","6950 S VERNON AVE",6950,"S","VERNON","AVE",393406,NA,41.767907703,-87.614255365,"(41.76790770291883, -87.61425536477357)"
6898382,"01/11/2023",2023-01-11,"CN138106","OPEN","","STOP/REMOVE NUISANCE","OTHER   :    :OTHER","SIDE DRIVEWAY - STORING CAR PARTS.","Remove and stop nuisance. (7-28-060)","371335",13908907,"FAILED","N","COMPLAINT","CONSERVATION","11561 S PEORIA ST",11561,"S","PEORIA","ST",531934,NA,41.683400547,-87.645033461,"(41.683400547346935, -87.6450334611909)"
6898335,"01/11/2023",2023-01-11,"EV1110","OPEN","","MAINTAIN OR REPAIR ELECT ELEVA","","PROVIDE ALL MISSING FIRE SERVICE KEYS INSIDE THE FIRE SERVICE BOX","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","371001",13908871,"FAILED","N","COMPLAINT","ELEVATOR","29 E MADISON ST",29,"E","MADISON","ST",654108,1,41.88196533,-87.626793222,"(41.881965330252534, -87.62679322159418)"
6855462,"06/26/2023",2023-01-11,"EV1110","COMPLIED","06/26/2023","MAINTAIN OR REPAIR ELECT ELEVA","","PROVIDE STEPS IN MACH. RM.TO ACCESS ROOF IN AND OUT OF ADDED DOOR WAY","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","BL00957",13908844,"PASSED","N","PERMIT","ELEVATOR","550 W SURF ST",550,"W","SURF","ST",8123,8,41.934375934,-87.643490367,"(41.934375933787926, -87.64349036719632)"
6898442,"01/11/2023",2023-01-11,"CN138106","OPEN","","STOP/REMOVE NUISANCE","OTHER   :    :OTHER","FRONT YARD-OVERGROWN GRASS AND WEEDS.SIDE YARD ;SOUTH ELEVATION AND REAR YARD WEST ELEVATION;CAR PARTS,JUNK,DEBRISOLD CHAIRS,BUILDING MATERIAL.","Remove and stop nuisance. (7-28-060)","BL00708",13908964,"FAILED","N","COMPLAINT","CONSERVATION","2102 N SAWYER AVE",2102,"N","SAWYER","AVE",90172,NA,41.919350036,-87.70913459,"(41.91935003598032, -87.70913458951468)"
6898452,"01/11/2023",2023-01-11,"CN190019","OPEN","","ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF APT.2-F WATER DAMAGED BATHROOM CEILING.","Arrange for inspection of premises. (13-12-100)","BL00708",13908966,"FAILED","N","COMPLAINT","CONSERVATION","2362 N CLYBOURN AVE",2362,"N","CLYBOURN","AVE",6582,NA,41.924857233,-87.669130863,"(41.924857233393304, -87.66913086296212)"
6898187,"01/10/2023",2023-01-10,"CN062024","OPEN","","PARAPET","OTHER   :    :OTHER","NORTH PARAPET - WASHED OUT MORTAR.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","60527",13908791,"FAILED","N","COMPLAINT","CONSERVATION","6950 S VERNON AVE",6950,"S","VERNON","AVE",393406,NA,41.767907703,-87.614255365,"(41.76790770291883, -87.61425536477357)"
6898403,"11/27/2023",2023-01-11,"EV1110","COMPLIED","11/27/2023","MAINTAIN OR REPAIR ELECT ELEVA","","AUDIT #1: PROVIDE CAT1/5 TEST SHEET AND TAG TO BE LOCATED IN MACHINE ROOM","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425",14100630,"PASSED","N","COMPLAINT","ELEVATOR","225 W OHIO ST",225,"W","OHIO","ST",44838,NA,41.892264689,-87.63517797,"(41.8922646892654, -87.63517797003544)"
6898065,"08/17/2023",2023-01-11,"CN138106","OPEN","","STOP/REMOVE NUISANCE","OTHER   :    :OTHER","REAR STAIR / NUISANCE - TRASH AND BAGS ON THE FLOOR","Remove and stop nuisance. (7-28-060)","87296",14132081,"FAILED","N","COMPLAINT","CONSERVATION","11308 S MICHIGAN AVE",11308,"S","MICHIGAN","AVE",520401,40,41.68866518,-87.621148608,"(41.68866517968443, -87.62114860809837)"
6898242,"12/22/2023",2023-01-11,"CN061014","COMPLIED","12/14/2023","REPAIR EXTERIOR WALL","EXTERIOR:S   :BL00876","SOUTH ELEVATION - FRACTURES, LOOSE AND ERODED MORTAR  AT VARIOUS LOCATIONS.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","BL00904",13908797,"FAILED","N","COMPLAINT","CONSERVATION","4838 W THOMAS ST",4838,"W","THOMAS","ST",54823,NA,41.900609086,-87.747561064,"(41.90060908570046, -87.74756106373523)"
6898913,"01/12/2023",2023-01-12,"PL151137","OPEN","","OPEN","","","","BL00896",13909388,"FAILED","N","PERMIT","PLUMBING","1156 W 63RD ST",1156,"W","63RD","ST",363316,NA,41.779719384,-87.654358774,"(41.77971938435299, -87.65435877379359)"
6898639,"12/28/2023",2023-01-12,"CN070024","OPEN","","REPAIR PORCH SYSTEM","OTHER   :    :OTHER","REAR / EXTERIOR PORCH -GRADE TO 2ND FL .6X6/4X4 COLUMNS ERECTED ON SERVICE WALK.1/2 LAP MISSING BOLTS AND INDER SIZED .LANDING JOIST NAILED TO HEADERS .1ST FL TREAD MISSING .GUARDRAILS AND STRINGERS NAILED ONLY TO COLMNS ,HEADERS AND WALL .2X4 USED FOR POST ON 2ND FL PICKETS MISSING 1ST FL .PLANS AND PERMIT REQUIRED TO REPAIR REAR PORCH .","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00941",14178787,"FAILED","N","COMPLAINT","CONSERVATION","6146 S MAY ST",6146,"S","MAY","ST",363002,NA,41.781872121,-87.653492077,"(41.78187212114613, -87.65349207667806)"
6898822,"01/12/2023",2023-01-12,"CN062024","OPEN","","PARAPET","EXTERIOR:N   :","ALL COMMON BRICK ELEVATIONS  INCLUDING REAR COURTYARD - FRACTURES, LOOSE BRICKS AND MORTAR THRU-OUT. PERMIT REQUIRED FOR REPAIRS.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00904",13909331,"FAILED","N","COMPLAINT","CONSERVATION","703 N LOTUS AVE",703,"N","LOTUS","AVE",26709,NA,41.893107993,-87.76191508,"(41.893107992675574, -87.76191508010741)"
6898723,"01/12/2023",2023-01-10,"EV1110","OPEN","","MAINTAIN OR REPAIR ELECT ELEVA","","PROVIDE ADEQUATE MACHINE ROOM LIGHTING (REPLACE BAD TUBES)","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","541348",13678692,"FAILED","N","PERIODIC","ELEVATOR","1607 W HOWARD ST",1607,"W","HOWARD","ST",13979,19,42.019265768,-87.671677731,"(42.01926576756868, -87.67167773086105)"
6898753,"01/11/2023",2023-01-11,"NC2011","OPEN","","PLANS & PERMITS REQ - CONTRCTR","OTHER   :    :OTHER","INTERIOR OF BUILDING /OCCUPIED BASEMENT - SUBMIT PLANS AND OBTAIN A PERMIT FOR ALL RELATED WORK TO AUTHORIZE ALTERATIONS TO BASEMENT OR RESTORE THE BUILDING TO THE ORIGINAL STATE.","Performed or allowed work to be performed without submitting plans prepared, signed and sealed by a licensed architect or registered structural engineer for approval and without obtaining a permit to perform the work.  (13-32-010, 13-32-040, 13-40-020, 13-12-050)","455370",13909280,"FAILED","N","COMPLAINT","CONSERVATION","2827 W SUMMERDALE AVE",2827,"W","SUMMERDALE","AVE",200503,NA,41.97844304,-87.700113285,"(41.97844304008621, -87.7001132854061)"
6899010,"01/12/2023",2023-01-12,"CN061014","OPEN","","REPAIR EXTERIOR WALL","OTHER   :    :OTHER","EAST ELEVATION - SPALLING BRICKS.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","BL00831",13909485,"FAILED","N","COMPLAINT","CONSERVATION","8943 S JUSTINE ST",8943,"S","JUSTINE","ST",469052,NA,41.730872722,-87.661558542,"(41.730872721897356, -87.66155854249207)"
6898948,"03/26/2024",2023-01-12,"CN104025","COMPLIED","03/26/2024","MAINTAIN WINDOW SASH","OTHER   :    :OTHER","EAST ELEVATION - 2ND FLOOR - MISSING WINDOW SASH.","Failed to maintain window sash in good condition and so it fits reasonably tight within its frame.  (13-196-550(b))","BL00831",13909437,"FAILED","N","COMPLAINT","CONSERVATION","8123 S PEORIA ST",8123,"S","PEORIA","ST",437528,NA,41.746251622,-87.64619499,"(41.746251621663006, -87.64619498981634)"
6898854,"02/01/2024",2023-01-12,"CN105015","OPEN","","REPAIR DOOR, INT.","OTHER   :    :OTHER","APT. 2F - ENTRY DOOR - BROKEN.","Repair or replace defective door. (13-196-550)","87296",14220529,"FAILED","N","COMPLAINT","CONSERVATION","1765 W 95TH ST",1765,"W","95TH","ST",488290,4,41.721039674,-87.667317116,"(41.72103967374667, -87.66731711627374)"
6899009,"01/12/2023",2023-01-12,"CN065034","OPEN","","REPAIR WINDOW SILLS","OTHER   :    :OTHER","SOUTH AND EAST WINDOW SILLS - WASHED OUT MORTAR.","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","BL00831",13909485,"FAILED","N","COMPLAINT","CONSERVATION","8943 S JUSTINE ST",8943,"S","JUSTINE","ST",469052,NA,41.730872722,-87.661558542,"(41.730872721897356, -87.66155854249207)"
6898615,"07/05/2023",2023-01-11,"CN197079","OPEN","","REPAIR/REPLACE SMOKE DETECTORS","OTHER   :    :OTHER","CB197079 - APT 2N, SMOKE DETECTOR - MISSING BATTERY. (14X-1-103.2, 14X-1-103,3., 14X-5-504,.1.1, 14X-5-504.10 AND 14A-3-314.1.4).","Repair or replace defective or out of service smoke detectors and operate continuously. (13-196-130, 13-196-140)","112463",14115135,"FAILED","N","COMPLAINT","CONSERVATION","8119 S MARYLAND AVE",8119,"S","MARYLAND","AVE",430833,NA,41.747040769,-87.603699359,"(41.747040768684705, -87.60369935864547)"
6898947,"01/12/2023",2023-01-12,"CN062014","OPEN","","PARAPET & COPING","OTHER   :    :OTHER","NORTH PARAPET - SPALLING BRICKS AND BROKEN COPING TILES.","Failed to maintain the parapet wall and coping in good repair and free from cracks and defects.  (13-196-530, 13-196-530(e) and 13-196-641)","BL00831",13909437,"FAILED","N","COMPLAINT","CONSERVATION","8123 S PEORIA ST",8123,"S","PEORIA","ST",437528,NA,41.746251622,-87.64619499,"(41.746251621663006, -87.64619498981634)"
6898742,"01/11/2023",2023-01-11,"CN065014","OPEN","","REPAIR LINTELS","OTHER   :    :OTHER","EAST ELEVATION - 2ND + 3RD FL WINDOWS - ESPECIALLY AT REAR /LINTELS - WARPED AND RUSTED WITH LARGE GAPS FILLED WITH MORTAR. PERMITS REQUIRED FOR LINTEL REPAIR. PLANS REQUIRED FOR LINTELS OVER 6 FT.","Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)","455370",13909276,"FAILED","N","COMPLAINT","CONSERVATION","2901 W SUMMERDALE AVE",2901,"W","SUMMERDALE","AVE",12304,NA,41.978432641,-87.701555897,"(41.97843264053891, -87.70155589745451)"
6898778,"01/12/2023",2023-01-12,"CN065034","OPEN","","REPAIR WINDOW SILLS","OTHER   :    :OTHER","FRONT / WINDOW SILL - OPEN MORTAR JOINT .","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","87296",13909301,"FAILED","N","COMPLAINT","CONSERVATION","7240 S SACRAMENTO AVE",7240,"S","SACRAMENTO","AVE",414984,14,41.761411149,-87.697982188,"(41.76141114939645, -87.69798218818471)"
6898548,"01/11/2023",2023-01-11,"CN194019","OPEN","","REPAIR OR REPLACE","OTHER   :    :OTHER","APT 2F / BATHROM VANITY AND KITCHEN CABINET - DAMAGED.","Repair or replace","371335",13909143,"FAILED","N","COMPLAINT","CONSERVATION","32 E 119TH ST",32,"E","119TH","ST",529128,NA,41.678153586,-87.621393385,"(41.678153586145655, -87.62139338543555)"
6898853,"02/01/2024",2023-01-12,"CN105055","OPEN","","INSTALL DOOR VIEWING DEVICE","OTHER   :    :OTHER","APT. 2R FRONT DOOR - MISSING VIEWING DEVICE.","Failed to install door viewing device at the entrance door of a dwelling unit.  (13-164-030)","87296",14220529,"FAILED","N","COMPLAINT","CONSERVATION","1765 W 95TH ST",1765,"W","95TH","ST",488290,4,41.721039674,-87.667317116,"(41.72103967374667, -87.66731711627374)"
6898972,"08/15/2023",2023-01-12,"VT1010","COMPLIED","08/15/2023","ARRANGE COMPLETED PERMIT INSP.","","","Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","283938",14113480,"PASSED","N","PERMIT","VENTILATION","1123 N MOZART ST",1123,"N","MOZART","ST",50267,NA,41.901831968,-87.697956158,"(41.9018319676894, -87.69795615796079)"
6898998,"01/12/2023",2023-01-12,"CN061024","OPEN","","SUBMIT 2 COPY STRUCTURAL RPT","OTHER   :    :OTHER","BUILDING'S EXTERIOR WALLS - AT SOUTH AND WEST ELEVATIONS -  EXCESSIVE MASONRY FRACTURES WITH HOLES. WEST AND SOUTH WALLS HAVE PARTIALLY COLLAPSED AND ARE MISSING BRICKS. SUBMIT ENGINEERING REPORT ON THE STABILITY OF THE BUILDING'S MASONRY EXTERIOR WALLS.","Failed to maintain building or structure in a structurally safe and stable condition.  The Building Commissioner requests submission of two (2) copies of a structural condition report prepared, signed and sealed by an Illinois licensed Architect or Structural Engineer, attesting to the structural conditions of the building or structure.  (13-196-030)","371335",13909476,"FAILED","N","COMPLAINT","CONSERVATION","1237 E 46TH ST",1237,"E","46TH","ST",309655,47,41.810823865,-87.595398954,"(41.810823865289784, -87.59539895355555)"
6898770,"01/12/2023",2023-01-10,"EV1420","OPEN","","NONCOMPLIANT PERSONNEL HOIST","","90 DAY SAFETY TEST OVERDUE.","Failed to design and maintain personnel hoist in conformance with Safety Requirements for Personnel Hoists ANSI A10.4-1981. (13-124-300, 13-196-590, 13-196-630(b))","541348",13896900,"PASSED","N","PERMIT","ELEVATOR","1475 N KINGSBURY ST",1475,"N","KINGSBURY","ST",680966,NA,41.907985328,-87.65152941,"(41.90798532771443, -87.65152940978078)"
6898680,"01/11/2023",2023-01-11,"CN138106","OPEN","","STOP/REMOVE NUISANCE","EXTERIOR:W   :","REAR YARD - OVERGROWN TREES BUCKLING THE  NEIGHBORS SERVICE WALK WITH BRANCHES GROWN ONTO NIEGHBORS PROPERTY.","Remove and stop nuisance. (7-28-060)","BL00904",13909219,"FAILED","N","COMPLAINT","CONSERVATION","5807 W RICE ST",5807,"W","RICE","ST",56677,NA,41.895574648,-87.770629208,"(41.895574647644324, -87.77062920781404)"
