Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
HP,"14"" HP EliteBook 840 G8 11th Gen Intel Core i5-1145G7 vPRO 16GB BRAND NEW in BOX",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,,1920 x 1080,New,449.95
Lenovo,"15.6"" Lenovo ThinkPad E15, i5-10210U, 16GB, 512GB SSD, Free Ship!",15.6,16,Intel Core i5 10th Gen.,Integrated Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,299.95
HP,HP EliteBook 840 G5 14'' (512GB SSD Intel Core i5-8350U 1.7GHz 16GB RAM) Laptop,14,16,Intel Core i5 8th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,200.0
Dell,"Dell XPS 13 Plus 9320 13.4"" Silver FHD+ TOUCH 2.1GHz i7-1260P 16GB RAM 512GB SSD",13.4,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,,1920 x 1200,Excellent - Refurbished,881.27
Dell,"Dell Rugged Extreme 7212 11.6"" Touch Kickstand i5-7300U 16GB, 256GB SSD W10P GPS",11.6,16,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,342.99
Dell,"Dell Inspiron 3530 Laptop 15.6"" FHD 120Hz Intel Core i7-1355U 16GB RAM 512GB SSD",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,499.99
Microsoft,"Microsoft Surface Laptop Go (1st Gen) 12.4"" TOUCH 1.0GHz i5-1035G1 8GB 256GB SSD",12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,,1536 x 1024,Excellent - Refurbished,265.99
Asus,"ASUS VivoBook 14 Slim Laptop (i3 1115G4/8GB/Intel UHD/250GB/14"" FHD/IPS/Win11)",14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,229.99
Asus,"New Asus Vivobook F15 15.6"" FHD Touch i7-1255U 16GB 1TB Webcam Blue Windows 11",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphic,Integrated/On-Board Graphics,1920 x 1080,New,581.99
Lenovo,"Lenovo ThinkPad T470 14 in (Intel Core i5 7th Gen,2.6GHz, 1TB M.2, 32GB RAM)",14,32,Intel Core i5 7th Gen.,,Integrated/On-Board Graphics,1920 x 1080,Open box,249.99
Dell,"Dell Latitude 7410 14"" Laptop i5 10th Gen 256GB SSD 8GB RAM Win 11 Pro (SD)",14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,229.45
Dell,Dell Precision 7670 Laptop i7-12850HX 1TB PCIe 32GB FHD+ BT FP BKLT RTXA1000 WTY,15.6,32,Intel Core i7 12th Gen.,NVIDIA RTX A1000 4GB GDDR6,Dedicated Graphics,1920 x 1200,Excellent - Refurbished,249.99
HP,"HP 15-dw3033dx 15.6"" (Intel Core i3-1115G4, 256GB SSD, 8GB RAM) Laptop - Natural",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,315.0
Dell,Dell Latitude 3410 i3-10110U 4GB 500GB BT5 WiF6 14W W10P64 PP60Y ✅❤️️✅❤️️,14,4,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Open box,199.99
Dell,"Dell Inspiron 3593 15.6"" 2020 FHD 1.0 GHz i5-1035G1 8GB RAM 256GB SSD Very Good",15.6,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,189.71
Dell,Dell XPS 13 9305 Silver 2021 FHD 2.8 GHz i5-1135G7 8GB RAM 256GB SSD - Excellent,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,395.99
Dell,Dell Inspiron 3520 15.6'' (512GB SSD Intel Core i7-1255U 1.2GHz 16GB RAM) Laptop,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,635.0
Dell,"Dell Precision 5470 Workstation Laptop PC 14"" i5-12500H 8GB 512GB SSD W11 Pro",15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,495.45
Lenovo,"Lenovo Yoga 730-13IKB 13"" Laptop i5 8th Gen 256GB SSD 8GB RAM Win 11 Pro (IN)",13,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,233.95
Dell,"NEW Dell Inspiron 3520 Laptop 15.6"" FHD i5-1155G7 8GB 512GB SSD Webcam Win11 Pro",15.6,8,Intel Core i5 11th Gen.,,Integrated/On-Board Graphics,,New,399.94
Dell,"Dell Latitude 7400 14"" Laptop i7 8th Gen 256GB SSD 16GB RAM Win 11 (AE)",14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,215.95
Dell,"Dell XPS 13 9315 13.4"" Blue FHD+ 1.0 GHz i5-1230U 8GB RAM 512GB SSD Excellent",13.4,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Excellent - Refurbished,549.99
Lenovo,"Lenovo ThinkPad E14 Gen 5 14"" Touch (512GB SSD, Intel Core i7 13th Gen., 5.00...",14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1900 x 1200,New,650.0
Lenovo,"Thinkpad T470 i7-7600U 14"" FHD 16GB 500gb ssd Win pro 11 Pro Laptop Notebook cam",14,16,Intel Core i7 7th Gen.,,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,269.99
Gateway,"New Gateway Laptop 15.6"" Ultra Slim 256GB SSD, Intel Core i3 11th 8GB RAM Win 10",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,289.99
Dell,Dell Latitude 13 Rugged Extreme 7330 i5-1145G7 256GB 16GB TOUCH CMRA FP BKLT WTY,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,399.99
HP,"New HP Laptop 15.6"" FHD 1080P 4-Core i5-1135G7 8GB 512GB PCIe SSD Cam Win 11Home",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,430.99
Dell,"Dell Latitude 9410 14"" FHD Touch i7-10610U 16GB 512GB PCIe SSD Cam FPReader W10P",14,16,Intel Core i7 10th Gen.,,Integrated/On-Board Graphics,,Very Good - Refurbished,469.06
Lenovo,"Lenovo IdeaPad Gaming 3 15ACH6 15.6"" 256GB SSD, AMD Ryzen 5 , 32GB Ram IOB",15.6,32,AMD Ryzen 5 5000 Series,NVIDIA GeForce RTX 3050 Ti,Dedicated Graphics,1920 x 1080,Open box,599.98
HP,"HP ZBook Fury 16 G9 16"" WUXGA LCD i7-12800HX 16GB 512GB Nvidia RTX A1000 WARANTY",16,16,Intel Core i7 12th Gen.,NVIDIA RTX A1000,Dedicated Graphics,1920 x 1200,Open box,989.99
Samsung,"Samsung Galaxy Book2 Pro 15.6"" 2022 FHD 2.1GHz i7-1260P 16GB 512GB SSD - Good",15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,489.99
Dell,"🇺🇸 Dell Latitude 7400 14"" FHD | i7-8665U | 32GB RAM | 500/512GB SSD | 11 Pro",14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080 Full HD,Excellent - Refurbished,317.77
Lenovo,Lenovo ThinkPad T490s i7-8565U 1.80GHz 16GB 512 SSD FHD TOUCH Win 11 pro laptop,14,16gb,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,379.99
LG,"LG Gram 17: Core i5-1340P, 16GB RAM, 512GB SSD, 17"" 2560x1600 IPS Display",17,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,New,699.99
HP,"HP ProBook 445 G10 14"" FHD 8-Core Ryzen 7 7730U 32GB 1TB FPReader Win 11 Pro",14,32,AMD Ryzen 7 7000 Series,,Integrated/On-Board Graphics,,New,694.99
Lenovo,"Lenovo ThinkPad T14 Gen 4 14"" 2023 FHD+ 1.8 GHz i7-1365U 16GB RAM 512GB SSD",14,16,Intel Core i7 13th Gen.,Intel UHD Graphics,,1920 x 1200,Excellent - Refurbished,739.99
Dell,"Dell Latitude 7400 14"" i7-8665U 32GB NEW 1TB SSD NVME Laptop WIN 11 pro FHD WIFI",14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,359.99
Lenovo,"Lenovo ThinkBook 14 G6 IRL 21KG0005US 14"" Notebook - WUXGA - 1920 x 1200 - Intel",14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,747.12
Dell,"Dell Inspiron 13 5310 13.3"" QHD+ Intel i7-11390H 16GB 512GB GeForce MX450 Win 11",13.3,16,Intel Core i7 11th Gen.,NVIDIA GeForce MX450,,2560 x 1600,New,635.4
Lenovo,Lenovo Thinkpad P52s Intel i7-8550U 8GB RAM 512GB SSD NVidia Quadro P500 Win 11,15.6,8,Intel Core i7 8th Gen.,NVIDIA QUADRO P500,,1920 x 1080,Very Good - Refurbished,299.99
Lenovo,"Lenovo ThinkPad T490 i7-8665U Quad Core 40gb, 1TB NVME SSD FHD IPS laptop win 11",14,40,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,429.99
Microsoft,"MICROSOFT SURFACE LAPTOP STUDIO 14"" QHD I7-11370H 512GB 16GB W11P RTX 3050 Ti",14,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Dedicated Graphics,2400 x 1600,Good - Refurbished,832.99
Lenovo,"Lenovo Flex 5 2-in-1: Core i7-1355U, 16GB RAM, 512GB SSD, 16"" 1920x1200 Touch",16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,649.99
HP,"HP 250 G8 15.6"" Intel Core i5-1135G7 2.4GHz 16GB RAM 256GB NVMe 4L1Q8UT#ABA",15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,325.0
Lenovo,"Lenovo ThinkPad L13 Gen 2 13.3"" Laptop i5 10th Gen 256GB SSD 8GB RAM Win 11 (OC)",13.3,8,Intel Core i5 10th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,269.95
HP,"HP - Victus 15.6"" Gaming Laptop - Intel Core i5-12450H - 8GB- NVIDIA GeForce GTX",15.6,8,Intel Core i5 12th Gen.,NVIDIA GeForce GTX 1650,Dedicated Graphics,1920 x 1080,New,599.99
Acer,"✨Acer Spin 3 SP314-55 14"" (256GB SSD, Intel Core i3 12th Gen., 4.40 GHz, 8GB)✨",14,8,Intel Core i3 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,368.95
Dell,"Dell Precision 5680 16"" 512GB SSD, Intel Core i7-13850, 2.10GHz, 32GB RAM NEW..",16,32,Intel Core i7 13th Gen.,INVIDIA RTX A1000,Dedicated Graphics,3840 x 2400,Open box,830.0
Dell,"Dell Latitude 14"" Gaming Laptop - 32GB RAM 1TB SSD Intel Core i7 4.20GHz Win11",14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,544.99
Dell,"Dell Latitude 7400 14"" FHD i7-8665 16GB 512gb NVME Win 11 Pro WIFI laptop Carbon",14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,289.99
Lenovo,"Lenovo Yoga 7i 16"" WUXGA 2in 1 Touch Intel i5-1335U 8GB RAM 512SSD with warranty",16,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Open box,544.0
Samsung,"Samsung Galaxy Book2 360 13.3"" 2022 FHD TOUCH 1.7GHz i7-1255U 16GB RAM 512GB SSD",13.3,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,,1920 x 1080,Excellent - Refurbished,569.99
HP,"HP Envy x360 2-in-1 13-bf0013dx 13.3"" FHD+ TOUCH 1.1 GHz i7-1250U 8GB 512GB SSD",13.3,8,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Excellent - Refurbished,489.99
Lenovo,"Lenovo YOGA 920-13IKB FHD Touch, Intel i7-8550U ,256GB SSD ,8GB RAM W10",13.9,8,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Open box,101.0
Dell,"Dell Latitude 3420 14"" Black HD 2.4 GHz i5-1135G7 8GB RAM 256GB SSD Very Good",14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,239.99
Acer,"Acer 15.6"" 3 Laptop Intel Core i3 8GB RAM 256GB SSD Windows 11 Free Shipping",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,294.99
MSI,"MSI - GF63 Gaming Laptop - 15.6"" 144Hz Intel i5-12450H RTX 4050 8GB RAM 512 SSD",15.6,8,Intel Core i5 12th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,1920 x 1080,New,668.65
Dell,"Dell Latitude 5420 14"" 2021 FHD 3.0 GHz i7-1185G7 16GB RAM 512GB SSD - Very Good",14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,369.99
Dell,"Dell Latitude E7440 Intel i7-Gen 4, 8 GB RAM 128 GB SSD, 14"" Screen",14,8,Intel Core i7 4th Gen.,Intel Integrated Graphics,,1366 x 768,Good - Refurbished,169.0
Lenovo,"Lenovo IdeaPad Slim 5 16IRL8 16"" Intel i7-1355U 16GB 512GB SSD W11H",16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,531.15
Lenovo,"Lenovo ThinkPad E14 Gen 2 14"" (256GB SSD, Intel Core i5-1135G7 2.40GHz 16GB 2020",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,399.99
Dell,"Dell Latitude 7400 14"" FHD i5-8365 1.6GHz 32GB 512gb NVME Win 11 Pro WIFI laptop",14,32,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,269.99
Lenovo,"Lenovo 15.6"" 82XV005GUS Gaming Laptop - 16GB DDR5 RAM - 512GB M2 SSD - Onyx Gray",15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,1920 x 1080,New,829.0
Lenovo,"Lenovo IdeaPad 3 15IAU7 15.6"" i5-1235U (10 Cores) 256GB SSD 8GB Win11",15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,369.99
Lenovo,"Lenovo ThinkPad T16 Gen 2 Intel 16"" Intel i5-1345U, 16GB RAM,512GBSSD Win 11 Pro",16,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,849.0
Dell,"New Sealed Dell Inspiron 3520 15.6"" Laptop i3-1215U FHD 8GB 512GB Windows 11",15.6,8,Intel Core i3 12th Gen.,Integrated Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,300.0
Microsoft,NEW Microsoft 1943 Surface Laptop Go 10th Gen Intel i5 128GB 8GB RAM #2,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1536 x 1024,New,379.99
LG,"New LG Gram 14Z995-U.ARS6U1 14"" i5-10210U 8GB RAM, 512GB SSD Ultrabook",14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,525.0
Dell,"Dell Latitude 7400 14"" FHD i5-8365 1.6GHz 32GB 1TB NVME Win 11 Pro WIFI laptop",14,32,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,299.99
Acer,"Acer Predator Helios 300 - 512GB SSD, Intel Core i7-11800H, 4.60 GHz, 16GB RAM",15.6,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3060,Dedicated Graphics,1920 x 1080,Open box,799.89
Lenovo,"Lenovo IdeaPad 3 17IML05 17.3"" Laptop Intel Core i3-10110U CPU 4GB RAM 256GB SsD",17.3,4,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1366 x 768,Open box,270.0
HP,HP ENVY X360 15.6 inch Convertible Laptop,15.6,8GB,Intel Core i5 8th Gen.,,Integrated/On-Board Graphics,,Open box,320.0
Asus,"Asus Gaming Laptop OLED 2.8K 120Hz Intel i9-13900H, 16GB RAM, 1TB SSD, RTX 3050",15.6,16,Intel Core i9 13th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,2880 x 1620,Open box,879.0
Dell,"Dell Latitude 5300 2-in-1 Laptop 13"" i7 8th Gen 512GB 16GB RAM Win 11 Pro (ST)",13.3,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,242.95
HP,"New HP ProBook 450 G10 15.6"" FHD Intel i7-1355U 32GB 1TB SSD Webcam Win 11 Pro",15.6,32,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,New,874.99
Dell,"Dell Latitude 5490 14"" Black 2018 FHD 1.9 GHz i7-8650U 16GB RAM 512GB SSD Good",14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,189.99
Lenovo,"Lenovo ThinkPad X280 Laptop 12.5"" i5 8th Gen 256GB SSD 8GB RAM Win 10 Pro (PG)",12.5,8,Intel Core i5 8th Gen.,Intel HD Graphics,Integrated/On-Board Graphics,1366 x 768,Very Good - Refurbished,233.95
HP,HP 15-dy2792wm 15.6 in laptop Read description before buying!,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,199.0
Dell,"Dell Inspiron 15 5510 15"" Intel i5-11300H 16GB RAM 500GB SSD WiFi Win 10 Laptop",15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,,Very Good - Refurbished,349.99
Asus,"NEW ASUS 15.6"" 3.80GHz i3-N305 8-CORE 8GB RAM 256GB SSD BACKLIT KEYBOARD WIN 11",15.6,8,Intel Core i3 12th Gen.,,Dedicated Graphics,1920 x 1080,New,549.0
Lenovo,"Lenovo ThinkPad X1 Yoga Gen 4 14"" FHD TOUCH 1.6 GHz i5-8265U 8GB RAM 256GB SSD",14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,219.99
HP,"HP EliteBook 840 G8 14"" Touch Laptop Intel i5-1145G7 16GB 512GB NVMe 1Y Warranty",14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,574.99
HP,"HP Elite Dragonfly G4 2-in-1 Notebook 13.5"" i5-1335U 16GB 256GB WIFI/BT W11P",13.5,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Open box,674.99
Dell,"Dell Latitude 5401 Core i7 9850H 16GB RAM Nvidia MX150 512GB SSD 14"" FHD Display",14,16,Intel Core i7 9th Gen.,NVIDIA GeForce MX150,Dedicated Graphics,1920 x 1080,Good - Refurbished,300.0
Dell,Dell Precision 5680 Laptop i7-13700H 1TB 32GB FHD+ BT CMRA A1000 W11P PRO WTY,15.6,32,Intel Core i7 13th Gen.,"NVIDIA RTX A1000, 6 GB GDDR6",Dedicated Graphics,1920 x 1200,Excellent - Refurbished,649.99
Lenovo,Lenovo Ideapad slim 5 16IRL8 16GB 512GB 13th Gen Intel I7-1355U WUXGA 16”Display,16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,645.32
HP,"HP EliteBook 1040 G4 14"" FHD i7-7500U 8GB Ram 256GB SSD Windows 10 Pro Read",14,8,Intel Core i5 8th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,199.99
HP,* SEALED NEW * HP ProBook 450 G10 15.6'' 256GB SSD Intel i5-1335U 8GB RAM Laptop,15.6,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,New,648.0
Microsoft,"Microsoft Surface Laptop 5 i5/8GB/512GB/13.5"" TouchScreen Display 2256 x 1504",13.5,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,2256 x 1504,Open box,550.0
Dell,"New DELL INSPIRON 15-I3501 I3-1115G4 8GB 256GB SSD 15.6"" TOUCHSCREEN WIN10",15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,379.95
Dell,Dell Latitude RUGGED Extreme Tablet 7230 i3-1210U 512GB 8GB TOUCH CMRA W11P WTY,14,8,Intel Core i3 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,Excellent - Refurbished,99.99
HP,"HP EliteBook 850 G3, i5 Gen 6, 256 GB SSD 16.0 Ram, Windows 10 , Business Class",15.6,16,Intel Core i5 6th Gen.,Intel HD Graphics,,1920 x 1080,Very Good - Refurbished,229.0
Dell,"Dell Latitude laptop 5400 14"" FHD i7-8665U 16GB 500GB SSD WIFI webcam Win 11 Pro",14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,268.0
Lenovo,"Lenovo Slim 7 Carbon 13.3"" (1TB SSD, Intel Core i7 12th Gen., 3.40 GHz, 16GB...",13.3,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Open box,640.0
Dell,"Dell Latitude 5540 15.6"" Non-Touch, 2024, Core i7-1365U 16GB RAM, 512GB, 5YR WTY",15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,899.99
Lenovo,"Lenovo Thinkpad L14 Gen 1 14"" FHD 1.6 GHz i5-10210U 16GB RAM 512GB SSD Excellent",14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,279.99
Dell,5 Dell Precision 7670 Laptop i7-12850HX 512GB 32GB FHD+ BT CMRA BKLT A2000 WTY,15.6,32,Intel Core i7 12th Gen.,NVIDIA RTX A2000 8GB GDDR6,Dedicated Graphics,1920 x 1200,Excellent - Refurbished,150.0
Dell,Dell Precision 7560 Laptop i7-11850H 256GB PCIe 32GB UHD 4K CMRA W11P WTY,15.6,32,Intel Core i7 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,3840 x 2160,Excellent - Refurbished,99.99
Lenovo,"New Lenovo ThinkPad X13 Gen 1 i7-10510U 13.3"" FHD 512GB SSD 8GB RAM NO OS",13.3,8,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,Open box,389.95
HP,"HP EliteBook 840 G4, Intel i5, Gen 7, 256 SSD 16 RAM, Windows 10 ,Business Class",14,16,Intel Core i5 7th Gen.,Intel HD Graphics 620,,1366 x 768,Very Good - Refurbished,229.0
Lenovo,Lenovo ThinkPad E14 Gen 5 14 Laptop PC Ryzen 5 7530U 16GB RAM 256GB SSD W11 PRO,14,16,AMD Ryzen 5 7000 Series,AMD Radeon Graphics,Integrated/On-Board Graphics,1920 x 1200,Open box,449.99
Dell,"Dell Vostro 5502 15.6"" Laptop i5 11th Gen 512GB SSD 8GB RAM Win 11 Pro (SNB)",15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Very Good - Refurbished,292.46
HP,"HP - 15.6"" AMD Radeon Gaming Laptop 64GB RAM 2TB SSD Intel Quad Core i7 4.80GHz",15.6,64,Intel Core i7 8th Gen.,AMD Radeon Graphics,Dedicated Graphics,1920 x 1080,Very Good - Refurbished,799.0
Dell,"Dell 14"" 7490 Touch FHD 16GB NEW 512 NVME SSD i7-8650U Win 11 pro Laptop Cam WIF",14,16,Intel Core i7 8th Gen.,Intel HD Graphics 620,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,344.99
HP,HP ZBook 14u G5 i5-8250U 14 Laptop 512GB SSD NVME 16GB RAM Win 11 Pro WIFI CAM,14,16,Intel Core i5 8th Gen.,,Dedicated Graphics,,Excellent - Refurbished,279.99
LG,"LG Gram 17"" 2560x1600 IPS i7-1260P 32GB 1TB SSD Iris Xe 17Z90Q-K.ADC9U1",17,32,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2560 x 1600,Good - Refurbished,649.0
Dell,"Dell G3 3579 15.6"" FHD i7 8750H 2.20GHz 16GB 256GB SSD + 1TB HDD GTX 1050Ti",15.6,16,Intel Core i7 8th Gen.,NVIDIA GeForce GTX 1050 Ti,Integrated/On-Board Graphics,1920 x 1080,Good - Refurbished,339.0
Samsung,"Samsung Galaxy Book3 Pro 16"" 2880x1800 AMOLED 120 Hz 1TB SSD 16GB Graphite",16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,2880 x 1800,Open box,849.99
Lenovo,"Lenovo® IdeaPad Flex 5i 2-in-1 16"" Intel® Core™ i5, 16GB, 512GB SSD Win 11 Home",16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1200,New,499.99
Lenovo,"Lenovo Ideapad 3i 14"" FHD Laptop - Intel Core i3-1115G4 - 4GB - 128GB SSD / New",14,4,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated/On-Board Graphics,1920 x 1080,New,259.99
Dell,Dell Latitude 14 RUGGED 5430 i5-1135G7 256GB 32GB FHD TOUCH CMRA W11P BKLT WTY,14,32,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated/On-Board Graphics,1920 x 1080,Excellent - Refurbished,449.99
Lenovo,"Lenovo ThinkPad E14 Gen 5 21JR0018US 14"" Touchscreen Notebook - WUXGA - 1920 x",14,16,AMD Ryzen 7 7000 Series,AMD Radeon Graphics,Integrated/On-Board Graphics,1920 x 1200,New,830.0
