index,game-of-thones-deaths,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
547,Great Masters,547,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Great Master,5
548,Great Masters,548,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Great Master,5
549,Sons of the Harpy,549,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
550,Sons of the Harpy,550,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
551,Sons of the Harpy,551,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
552,House Targaryen,552,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5
553,House Targaryen,553,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5
554,Sons of the Harpy,554,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
555,Wise Masters,555,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Hizdahr zo Loraq,5
556,Sons of the Harpy,556,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
557,Sons of the Harpy,557,9,Jorah Mormont,House Targaryen,Meereen,Knife,Sons of the Harpy agent,5
558,Sons of the Harpy,558,9,Tyrion Lannister,House Lannister,Meereen,Knife,Sons of the Harpy agent,5
559,Sons of the Harpy,559,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
560,House Targaryen,560,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5
561,House Targaryen,561,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Spear,Unsullied Soldier,5
562,Sons of the Harpy,562,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5
563,House Targaryen,563,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5
564,Sons of the Harpy,564,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
565,Sons of the Harpy,565,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5
566,Sons of the Harpy,566,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
567,Sons of the Harpy,567,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5
568,Sons of the Harpy,568,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5
569,Sons of the Harpy,569,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
570,House Targaryen,570,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5
571,Sons of the Harpy,571,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
572,Sons of the Harpy,572,9,Daenerys Targaryen,House Targaryen,Meereen,Claws (Dragon),Sons of the Harpy agent,5
573,Sons of the Harpy,573,9,Daenerys Targaryen,House Targaryen,Meereen,Claws (Dragon),Sons of the Harpy agent,5
574,Sons of the Harpy,574,9,Daenerys Targaryen,House Targaryen,Meereen,Teeth (Dragon),Sons of the Harpy agent,5
575,Sons of the Harpy,575,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
576,Sons of the Harpy,576,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
577,Sons of the Harpy,577,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
578,Sons of the Harpy,578,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
579,Sons of the Harpy,579,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
580,Sons of the Harpy,580,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
581,Sons of the Harpy,581,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
582,Sons of the Harpy,582,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
583,Sons of the Harpy,583,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
584,Sons of the Harpy,584,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
585,Sons of the Harpy,585,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
586,Sons of the Harpy,586,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
587,Sons of the Harpy,587,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
588,Sons of the Harpy,588,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5
589,Sons of the Harpy,589,9,Daenerys Targaryen,House Targaryen,Meereen,Teeth (Dragon),Sons of the Harpy agent,5
590,House Targaryen,590,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Unsullied Soldier,5
591,Sons of the Harpy,591,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5
592,Sons of the Harpy,592,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5
593,Sons of the Harpy,593,9,Daario Naharis,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5
594,House Baratheon of Dragonstone,594,10,Selyse Florent,House Baratheon of Dragonstone,Kingsroad,Rope,Selyse Florent,5
595,House Baratheon of Dragonstone,595,10,Brienne of Tarth,House Tarth,Winterfell,Sword,Stannis Baratheon,5
596,House Baratheon of Dragonstone,596,10,Ramsay Bolton,House Bolton,Winterfell,Sword,Baratheon of Dragonstone soldier,5
597,House Baratheon of Dragonstone,597,10,Ramsay Bolton,House Bolton,Winterfell,Sword,Baratheon of Dragonstone soldier,5
598,House Bolton,598,10,Reek,House Bolton,Winterfell,Falling,Myranda Royce,5
599,House Lannister,599,10,Arya Stark,House Stark,Braavos,Knife,Meryn Trant,5
600,Faceless Men,600,10,Jaqen H'ghar,Faceless Men,Braavos,Poison,Jaqen H'ghar,5
601,House Lannister,601,10,Ellaria Sand,House Martell,Dorne,Poison,Myrcella,5
602,Night's Watch,602,10,Olly,Night's Watch,Castle Black,Knife,Jon Snow,5
603,House Bolton,603,1,Brienne of Tarth,House Tarth,Winterfell,Sword,Bolton soldier,6
604,House Bolton,604,1,Brienne of Tarth,House Tarth,Winterfell,Sword,Bolton soldier,6
605,House Bolton,605,1,Podrick Payne,House Tarth,Winterfell,Sword,Bolton soldier,6
606,House Bolton,606,1,Brienne of Tarth,House Tarth,Winterfell,Knife,Bolton soldier,6
607,House Bolton,607,1,Reek,House Bolton,Winterfell,Sword,Bolton soldier,6
608,House Martell,608,1,Ellaria Sand,House Martell,Dorne,Knife,Doran Martell,6
609,House Martell,609,1,Tyene Sand,House Martell,Dorne,Knife,Areo Hotah,6
610,House Martell,610,1,Obara Sand,House Martell,King's Landing,Spear,Trystane Martell,6
611,Night's Watch,611,2,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,6
612,Night's Watch,612,2,Wun Wun,Free Folk,Castle Black,Hands,Night's Watch brother,6
613,Smallfolk,613,2,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Hands,Peasant,6
614,House Bolton,614,2,Ramsay Bolton,House Bolton,Winterfell,Knife,Roose Bolton,6
615,House Bolton,615,2,Ramsay Bolton,House Bolton,Winterfell,Dogs,Walda Frey,6
616,House Bolton,616,2,Ramsay Bolton,House Bolton,Winterfell,Dogs,Bolton heir,6
617,House Greyjoy,617,2,Euron Greyjoy,House Greyjoy,Iron Islands,Hands,Balon Greyjoy,6
618,House Stark,618,3,Oswell Whent,House Targaryen,Dorne,Sword,Stark soldier,6
619,House Targaryen,619,3,Ned Stark,House Stark,Dorne,Sword,Oswell Whent,6
620,House Stark,620,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6
621,House Stark,621,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6
622,House Stark,622,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6
623,House Targaryen,623,3,Ned Stark,House Stark,Dorne,Sword,Arthur Dayne,6
624,Night's Watch,624,3,Jon Snow,House Stark,Castle Black,Noose,Bowen Marsh,6
625,Night's Watch,625,3,Jon Snow,House Stark,Castle Black,Noose,Othell Yarwyck,6
626,Night's Watch,626,3,Jon Snow,House Stark,Castle Black,Noose,Alliser Thorne,6
627,Night's Watch,627,3,Jon Snow,House Stark,Castle Black,Noose,Olly,6
628,Dothraki,628,4,Daario Naharis,House Targaryen,Vaes Dothrak,Hands,Dothraki man,6
629,Dothraki,629,4,Daario Naharis,House Targaryen,Vaes Dothrak,Knife,Dothraki man,6
630,House Stark,630,4,Ramsay Bolton,House Bolton,Winterfell,Knife,Osha,6
631,Dothraki,631,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Khal Moro,6
632,Dothraki,632,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
633,Dothraki,633,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
634,Dothraki,634,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
635,Dothraki,635,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
636,Dothraki,636,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
637,Dothraki,637,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
638,Dothraki,638,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
639,Dothraki,639,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
640,Dothraki,640,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
641,Dothraki,641,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
642,Dothraki,642,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
643,Dothraki,643,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
644,Dothraki,644,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
645,Dothraki,645,4,Daenerys Targaryen,House Targaryen,Vaes Dothrak,Fire,Dothraki Khal,6
646,Children of the Forest,646,5,Wight,White Walkers,Beyond the Wall,Axe,Child of the Forest,6
647,Children of the Forest,647,5,Wight,White Walkers,Beyond the Wall,Teeth,Child of the Forest,6
648,Children of the Forest,648,5,Wight,White Walkers,Beyond the Wall,Sword,Child of the Forest,6
649,Children of the Forest,649,5,White Walker,White Walkers,Beyond the Wall,Sword,Child of the Forest,6
650,House Stark,650,5,Wight,White Walkers,Beyond the Wall,Sword,Summer,6
651,Children of the Forest,651,5,White Walker,White Walkers,Beyond the Wall,Sword,Three-eyed Raven,6
652,Children of the Forest,652,5,Wight,White Walkers,Beyond the Wall,Sword,Leaf,6
653,House Stark,653,5,Wight,White Walkers,Beyond the Wall,Hands,Hodor,6
654,Faith of the Seven,654,7,Lem Lemoncloak,Brotherhood Without Banners,Riverlands,Noose,Brother Ray,6
655,Brotherhood Without Banners,655,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6
656,Brotherhood Without Banners,656,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6
657,Brotherhood Without Banners,657,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6
658,Brotherhood Without Banners,658,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6
659,Faith Militant,659,8,"Gregor ""the Mountain"" Clegane",House Clegane,King's Landing,Hands,Faith Militant Brother,6
660,Brotherhood Without Banners,660,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Noose,Brotherhood Without Banners Member,6
661,Brotherhood Without Banners,661,8,Beric Dondarrion,Brotherhood Without Banners,Riverlands,Noose,Lem Lemoncloak,6
662,Brotherhood Without Banners,662,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Noose,Brotherhood Without Banners Member,6
663,None,663,9,The Masters Soldier,The Masters,Meereen,Catapult,Meereen citizen,6
664,None,664,9,The Masters Soldier,The Masters,Meereen,Catapult,Meereen citizen,6
665,None,665,9,The Masters Soldier,The Masters,Meereen,Catapult,Meereen citizen,6
666,None,666,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
667,None,667,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
668,None,668,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
669,None,669,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
670,None,670,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
671,None,671,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
672,None,672,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
673,None,673,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
674,None,674,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
675,None,675,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
676,None,676,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6
677,Sons of the Harpy,677,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,6
678,The Masters,678,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
679,The Masters,679,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
680,The Masters,680,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
681,The Masters,681,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
682,The Masters,682,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
683,The Masters,683,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
684,The Masters,684,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
685,The Masters,685,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
686,The Masters,686,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
687,The Masters,687,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
688,The Masters,688,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
689,The Masters,689,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6
690,The Masters,690,9,Grey Worm,House Targaryen,Meereen,Knife,Belicho Paenymion,6
691,The Masters,691,9,Grey Worm,House Targaryen,Meereen,Knife,Razdal mo Eraz,6
692,House Stark,692,9,Ramsay Bolton,House Bolton,Winterfell,Arrow,Rickon Stark,6
693,House Bolton,693,9,Stark Soldier,House Stark,Winterfell,Spear,Bolton soldier,6
694,House Stark,694,9,Bolton soldier,House Bolton,Winterfell,Spear,Stark Soldier,6
695,House Stark,695,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6
696,House Bolton,696,9,Bolton soldier,House Bolton,Winterfell,Arrow,Bolton soldier,6
697,House Stark,697,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
698,House Bolton,698,9,Bolton soldier,House Bolton,Winterfell,Arrow,Bolton soldier,6
699,House Bolton,699,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
700,House Bolton,700,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
701,House Stark,701,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
702,House Stark,702,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
703,House Stark,703,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
704,House Bolton,704,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
705,House Bolton,705,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
706,House Stark,706,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
707,House Bolton,707,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
708,House Stark,708,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
709,House Bolton,709,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
710,House Bolton,710,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
711,House Stark,711,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
712,House Bolton,712,9,Stark Soldier,House Stark,Winterfell,Spear,Bolton soldier,6
713,House Stark,713,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
714,House Stark,714,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
715,House Stark,715,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
716,House Stark,716,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
717,House Stark,717,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
718,House Stark,718,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
719,House Stark,719,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
720,House Bolton,720,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
721,House Bolton,721,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
722,House Bolton,722,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
723,House Stark,723,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
724,House Stark,724,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
725,House Stark,725,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
726,House Stark,726,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
727,House Stark,727,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
728,House Bolton,728,9,Stark Soldier,House Stark,Winterfell,Sword,Bolton soldier,6
729,House Stark,729,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
730,House Stark,730,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
731,House Stark,731,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
732,House Stark,732,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
733,House Stark,733,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
734,House Bolton,734,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
735,House Bolton,735,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
736,House Bolton,736,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
737,House Stark,737,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6
738,House Bolton,738,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
739,House Stark,739,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6
740,House Bolton,740,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
741,House Stark,741,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6
742,House Bolton,742,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
743,House Bolton,743,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6
744,Free Folk,744,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
745,Free Folk,745,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
746,Free Folk,746,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
747,Free Folk,747,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
748,House Stark,748,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6
749,House Stark,749,9,Umber Soldier,House Umber,Winterfell,Sword,Stark Soldier,6
750,House Bolton,750,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
751,House Bolton,751,9,Wun Wun,Free Folk,Winterfell,Hands,Bolton soldier,6
752,House Bolton,752,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6
753,House Bolton,753,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
754,House Stark,754,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6
755,House Stark,755,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6
756,House Stark,756,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6
757,House Bolton,757,9,Stark Soldier,House Stark,Winterfell,Sword,Bolton soldier,6
758,House Bolton,758,9,Wildling,Free Folk,Winterfell,Sword,Bolton soldier,6
759,House Stark,759,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6
760,House Bolton,760,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
761,House Bolton,761,9,Wun Wun,Free Folk,Winterfell,Hands,Bolton soldier,6
762,Free Folk,762,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
763,Free Folk,763,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
764,Free Folk,764,9,Bolton soldier,House Bolton,Winterfell,Sword,Wildling,6
765,House Bolton,765,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6
766,House Stark,766,9,Umber Soldier,House Umber,Winterfell,Sword,Stark Soldier,6
767,Free Folk,767,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
768,Free Folk,768,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
769,Free Folk,769,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6
770,House Stark,770,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6
771,House Bolton,771,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6
772,House Umber,772,9,Tormund,Free Folk,Winterfell,Knife,Smalljon Umber,6
773,House Bolton,773,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6
774,House Bolton,774,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6
775,House Bolton,775,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6
776,House Bolton,776,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6
777,House Stark,777,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
778,House Bolton,778,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
779,House Stark,779,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
780,House Stark,780,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
781,House Stark,781,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6
782,House Bolton,782,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
783,Free Folk,783,9,Bolton soldier,House Bolton,Winterfell,Arrow,Wildling,6
784,House Bolton,784,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
785,House Bolton,785,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
786,House Bolton,786,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
787,House Bolton,787,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
788,House Bolton,788,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
789,House Bolton,789,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
790,House Bolton,790,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
791,House Bolton,791,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
792,House Bolton,792,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6
793,House Bolton,793,9,Wildling,Free Folk,Winterfell,Hands,Bolton soldier,6
794,Free Folk,794,9,Ramsay Bolton,House Bolton,Winterfell,Arrow,Wun Wun,6
795,House Bolton,795,9,Bolton Hound,House Bolton,Winterfell,Teeth,Ramsay Bolton,6
796,Order of Maesters,796,10,Little Bird,House Lannister,King's Landing,Knife,Grand Maester Pycelle,6
797,Faith Militant,797,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Lancel Lannister,6
798,Faith Militant,798,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,High Sparrow,6
799,None,799,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
800,None,800,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
801,None,801,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
802,None,802,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
803,None,803,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
804,None,804,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
805,None,805,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
806,None,806,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
807,None,807,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
808,None,808,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
809,None,809,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
810,None,810,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
811,None,811,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
812,None,812,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
813,None,813,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
814,None,814,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
815,None,815,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6
816,Smallfolk,816,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Peasant,6
817,Smallfolk,817,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Peasant,6
818,Smallfolk,818,10,Cersei Lannister,House Lannister,King's Landing,Bell,Peasant,6
819,Smallfolk,819,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Peasant,6
820,Smallfolk,820,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Peasant,6
821,Faith Militant,821,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Faith Militant Brother,6
822,Faith Militant,822,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Faith Militant Brother,6
823,Faith Militant,823,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Faith Militant Brother,6
824,Faith Militant,824,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Faith Militant Brother,6
